Site,date,time,variable,measurement
MC,10/3/2020,11:00:00 PM,pH,1.170128846
MC,10/3/2020,11:30:00 PM,pH,1.170128846
MC,10/4/2020,12:00:00 AM,pH,1.170128846
MC,10/4/2020,12:30:00 AM,pH,1.170128846
MC,10/4/2020,1:00:00 AM,pH,1.170128846
MC,10/4/2020,1:30:00 AM,pH,1.170128846
MC,10/4/2020,2:00:00 AM,pH,1.170128846
MC,10/4/2020,2:30:00 AM,pH,1.170128846
MC,10/4/2020,3:00:00 AM,pH,-0.078885091
MC,10/4/2020,3:30:00 AM,pH,-0.078885091
MC,10/4/2020,4:00:00 AM,pH,-0.078885091
MC,10/4/2020,4:30:00 AM,pH,-0.078885091
MC,10/4/2020,5:00:00 AM,pH,-0.078885091
MC,10/4/2020,5:30:00 AM,pH,-0.078885091
MC,10/4/2020,6:00:00 AM,pH,-0.078885091
MC,10/4/2020,6:30:00 AM,pH,-1.327899027
MC,10/4/2020,7:00:00 AM,pH,-1.327899027
MC,10/4/2020,7:30:00 AM,pH,-1.327899027
MC,10/4/2020,8:00:00 AM,pH,-1.327899027
MC,10/4/2020,8:30:00 AM,pH,-1.327899027
MC,10/4/2020,9:00:00 AM,pH,-1.327899027
MC,10/4/2020,9:30:00 AM,pH,-1.327899027
MC,10/4/2020,10:00:00 AM,pH,-1.327899027
MC,10/4/2020,10:30:00 AM,pH,-1.327899027
MC,10/4/2020,11:00:00 AM,pH,-1.327899027
MC,10/4/2020,11:30:00 AM,pH,-1.327899027
MC,10/4/2020,12:00:00 PM,pH,-1.327899027
MC,10/4/2020,12:30:00 PM,pH,-1.327899027
MC,10/4/2020,1:00:00 PM,pH,-1.327899027
MC,10/4/2020,1:30:00 PM,pH,NA
MC,10/4/2020,2:00:00 PM,pH,-1.327899027
MC,10/4/2020,2:30:00 PM,pH,-1.327899027
MC,10/4/2020,3:00:00 PM,pH,-1.327899027
MC,10/4/2020,3:30:00 PM,pH,-1.327899027
MC,10/4/2020,4:00:00 PM,pH,-0.078885091
MC,10/4/2020,4:30:00 PM,pH,-0.078885091
MC,10/4/2020,5:00:00 PM,pH,1.170128846
MC,10/4/2020,5:30:00 PM,pH,1.170128846
MC,10/4/2020,6:00:00 PM,pH,1.170128846
MC,10/4/2020,6:30:00 PM,pH,1.170128846
MC,10/4/2020,7:00:00 PM,pH,1.170128846
MC,10/4/2020,7:30:00 PM,pH,1.170128846
MC,10/4/2020,8:00:00 PM,pH,2.419142782
MC,10/4/2020,8:30:00 PM,pH,2.419142782
MC,10/4/2020,9:00:00 PM,pH,2.419142782
MC,10/4/2020,9:30:00 PM,pH,2.419142782
MC,10/4/2020,10:00:00 PM,pH,2.419142782
MC,10/4/2020,10:30:00 PM,pH,2.419142782
MC,10/4/2020,11:00:00 PM,pH,1.170128846
MC,10/4/2020,11:30:00 PM,pH,1.170128846
MC,10/3/2020,12:00:00 AM,DO,15.5329519
MC,10/3/2020,12:30:00 AM,DO,15.5329519
MC,10/3/2020,1:00:00 AM,DO,13.54100445
MC,10/3/2020,1:30:00 AM,DO,12.54503073
MC,10/3/2020,2:00:00 AM,DO,10.55308328
MC,10/3/2020,2:30:00 AM,DO,7.565162111
MC,10/3/2020,3:00:00 AM,DO,7.565162111
MC,10/3/2020,3:30:00 AM,DO,3.581267218
MC,10/3/2020,4:00:00 AM,DO,-1.398601399
MC,10/3/2020,4:30:00 AM,DO,-3.390548845
MC,10/3/2020,5:00:00 AM,DO,-6.378470015
MC,10/3/2020,5:30:00 AM,DO,-9.366391185
MC,10/3/2020,6:00:00 AM,DO,-11.35833863
MC,10/3/2020,6:30:00 AM,DO,-13.35028608
MC,10/3/2020,7:00:00 AM,DO,-15.34223352
MC,10/3/2020,7:30:00 AM,DO,-16.33820725
MC,10/3/2020,8:00:00 AM,DO,-17.33418097
MC,10/3/2020,8:30:00 AM,DO,-18.33015469
MC,10/3/2020,9:00:00 AM,DO,-18.33015469
MC,10/3/2020,9:30:00 AM,DO,-19.32612842
